phrase;category;intent;geo;ws_msk_base;wsk_msk_final;ws_ru_base;wsk_ru_exact_wk;pos_msk;url;source
купить диван;Диваны;коммерческий;;894761;31513;;28697;30;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
спальня;Спальни;общий;;1003690;7542;;7567;24;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+keysso
мебель белорусская мебель;Белорусская мебель;общий;;33765;6797;;6410;23;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+keysso
белорусская мебель;Белорусская мебель;общий;;34936;4864;31741;4417;10;/;arsenkin_sem+expand+keysso
кресло кровать раскладное;Кресла-кровати;общий;;11531;2702;;2548;35;/catalog/myagkaya-mebel/kresla/f/type--kreslo-krovat;arsenkin_sem+keysso
мебельная фабрика;Фабрика/производитель;общий;;303019;2420;289085;2362;38;/;arsenkin_sem+expand+keysso
кожаный диван;Диваны кожаные;общий;;39353;2099;37931;2115;11;/catalog/myagkaya-mebel/divanyi/f/material--naturalnaya_kozha;arsenkin_sem+expand+keysso
диван тахта;Тахты и кушетки;общий;;13298;2009;12306;1973;18;/catalog/myagkaya-mebel/tahtyi;arsenkin_sem+expand+keysso
кресло мягкое;Кресла;общий;;51122;1333;;1253;24;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
кожаный диван купить;Диваны кожаные;коммерческий;;9113;1297;;1103;12;/catalog/myagkaya-mebel/divanyi/f/material--naturalnaya_kozha;arsenkin_sem+keysso
кровать с мягким изголовьем;Кровати;общий;;22410;1252;;1124;15;/catalog/korpusnaya-mebel/krovati/f/izgolove--smyagkoyobivkoy;arsenkin_sem+keysso
мебель из дерева;Мебель из массива;общий;;31416;1008;;960;23;/catalog;arsenkin_sem+keysso
диван модульный угловой;Диваны угловые;общий;;5571;989;;1007;15;/catalog/myagkaya-mebel/divanyi-uglovyie/f/sistema_komplektatsii--modulnaya;arsenkin_sem+keysso
кресло реклайнер купить;Кресла реклайнеры;коммерческий;;5037;924;4540;767;28;/catalog/myagkaya-mebel/kresla/f/type--kreslo-reklayner;arsenkin_sem+expand+keysso
divan;Диваны;общий;;36594;893;;923;27;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
диван большой;Диваны;общий;;49469;872;;947;22;/catalog/myagkaya-mebel/divanyi/f/po_gabaritam--bolshie;arsenkin_sem+keysso
кожаное кресло;Диваны кожаные;общий;;17977;827;;849;25;/catalog/myagkaya-mebel/kresla/f/obivka--naturalnaya_koja;arsenkin_sem+keysso
кресло в гостиную;Кресла;общий;;12558;719;;708;30;/catalog/myagkaya-mebel/kresla/f/naznachenie--v_gostinuyu;arsenkin_sem+keysso
кресло мягкое для дома;Кресла;общий;;4008;677;;642;24;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
независимый пружинный блок;Матрасы;общий;;17532;648;;610;44;/blog/obzor-prujinnyih-blokov-dlya-matrasov;arsenkin_sem+keysso
тумба для обуви;Комоды и тумбы;общий;;9816;637;;647;34;/catalog/korpusnaya-mebel/tumbyi/f/type--tumba-dlya-obuvi;arsenkin_sem+keysso
кровать 1.5 спальная;Кровати;общий;;6336;635;;550;39;/catalog/korpusnaya-mebel/krovati/f/kolichestvo_spalnyih_mest--1_5_spalnoe;arsenkin_sem+keysso
тумба в прихожую;Прихожие;общий;;11057;624;;738;30;/catalog/korpusnaya-mebel/tumbyi/f/naznachenie--v_prihojuyu;arsenkin_sem+keysso
кресло мягкое купить;Кресла;коммерческий;;10706;612;;561;32;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
механизмы раскладывания диванов;Диваны;общий;;5300;603;;559;27;/mehanizmyi-transformatsii;arsenkin_sem+keysso
диван тик так;Диваны;общий;;8942;597;;646;13;/catalog/myagkaya-mebel/divanyi/f/transformation--tik_tak;arsenkin_sem+keysso
мебель из белоруссии;Белорусская мебель;общий;;4631;596;4341;563;8;/;arsenkin_sem+expand+keysso
кровать 1 5 спальная;Кровати;общий;;5958;596;;549;35;/catalog/korpusnaya-mebel/krovati/f/kolichestvo_spalnyih_mest--1_5_spalnoe;arsenkin_sem+keysso
комод под телевизор в гостиную;Гостиные и стенки;общий;;1472;595;;548;36;/catalog/korpusnaya-mebel/tumbyi/f/type--tumba-pod-televizor;arsenkin_sem+keysso
диван французская раскладушка;Диваны;общий;;4506;582;;534;25;/catalog/myagkaya-mebel/divanyi/f/transformation--francuzskaja_raskladushka;arsenkin_sem+keysso
белорусские диваны;Диваны;общий;;6189;579;5793;601;4;/catalog/myagkaya-mebel;arsenkin_sem+expand+keysso
кухн;Кухни;общий;;2560;527;;458;33;/catalog/kuhni;arsenkin_sem+keysso
раскладное кресло кровать купить;Кресла-кровати;коммерческий;;2187;508;;578;39;/catalog/myagkaya-mebel/kresla/f/type--kreslo-krovat;arsenkin_sem+keysso
деревянная мебель;Мебель из массива;общий;;34360;503;;529;20;/catalog;arsenkin_sem+keysso
диван выкатной вперед;Диваны;общий;;2679;502;;473;39;/catalog/myagkaya-mebel/divanyi-uglovyie/f/transformation--vperjodvykatnoj;arsenkin_sem+keysso
пружинный блок боннель;Матрасы;общий;;2222;491;;654;39;/blog/obzor-prujinnyih-blokov-dlya-matrasov;arsenkin_sem+keysso
кушетка диван купить;Тахты и кушетки;коммерческий;;5021;490;;454;32;/catalog/myagkaya-mebel/kushetki-mini-divanyi;arsenkin_sem+keysso
диван кожаный угловой;Диваны угловые;общий;;3540;479;;474;7;/catalog/myagkaya-mebel/divanyi-uglovyie/f/obivka--naturalnaya_koja;arsenkin_sem+keysso
механизм тик так для дивана;Диваны;общий;;1250;479;;453;35;/mehanizmyi-transformatsii;arsenkin_sem+keysso
кровать 1 5;Кровати;общий;;14852;472;;499;39;/catalog/korpusnaya-mebel/krovati/f/kolichestvo_spalnyih_mest--1_5_spalnoe;arsenkin_sem+keysso
кресло для дома;Кресла;общий;;38120;466;;502;42;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
мебель тиффани;Мебель общ.;общий;;4028;457;;441;25;/catalog/korpusnaya-mebel/mebel-dlya-gostinoy/gostinaya-tiffani;arsenkin_sem+keysso
кресло кровать аккордеон;Кресла-кровати;общий;;2456;454;2330;471;43;/catalog/myagkaya-mebel/kresla/f/transformation--akkordeon;arsenkin_sem+expand+keysso
тахта кровать односпальная;Тахты и кушетки;общий;;2480;453;;347;39;/catalog/myagkaya-mebel/tahtyi/f/kolichestvo_spalnyih_mest--1_spalnoe;arsenkin_sem+keysso
мебель беларусь;Белорусская мебель;общий;;14089;441;;337;2;/;arsenkin_sem+keysso
мебельная компания;Мебель общ.;общий;;25645;440;;412;24;/;arsenkin_sem+keysso
мебель диван купить;Диваны;коммерческий;;12095;405;;379;29;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
угловой диван 3 3;Диваны угловые;общий;;2256;395;;548;35;/catalog/myagkaya-mebel/divanyi-uglovyie;arsenkin_sem+keysso
стол круглый деревянный;Столы и стулья;общий;;4744;389;;499;25;/catalog/korpusnaya-mebel/stolyi/f/forma--kruglaya;arsenkin_sem+keysso
современные диваны;Диваны;общий;;14331;389;;524;22;/catalog/myagkaya-mebel/divanyi/f/stil--sovremennyiy;arsenkin_sem+keysso
кухни белоруссии;Кухни;общий;;4029;386;;354;4;/catalog/kuhni/kuhni-pod-zakaz;arsenkin_sem+keysso
белорусская мебель в москве;Белорусская мебель;общий;да;1238;370;1103;291;4;/;arsenkin_sem+expand+keysso
гардеробная в спальне;Спальни;общий;;6863;365;;291;13;/blog/dizayn-spalni-s-garderobnoy;arsenkin_sem+keysso
мебель амадей;Мебель общ.;общий;;1073;364;;;12;/catalog/korpusnaya-mebel/mebel-dlya-gostinoy/gostinaya-amadey;arsenkin_sem+keysso
белорусская мебель официальный сайт;Белорусская мебель;коммерческий;;1626;357;1910;197;11;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+expand+keysso
диван кушетка раскладной;Тахты и кушетки;общий;;1089;352;;;28;/catalog/myagkaya-mebel/kushetki-mini-divanyi;arsenkin_sem+keysso
тахта детская;Тахты и кушетки;общий;;2609;342;2592;334;36;/catalog/myagkaya-mebel/tahtyi/f/naznachenie--v_detskuyu;arsenkin_sem+expand+keysso
механизм для дивана книжка;Диваны;общий;;1473;332;;305;32;/mehanizmyi-transformatsii;arsenkin_sem+keysso
диван угловой на ножках;Диваны угловые;общий;;1804;330;;360;23;/catalog/myagkaya-mebel/divanyi-uglovyie/f/material_nojek--metall;arsenkin_sem+keysso
мебель для спальни в современном стиле;Спальни;общий;;882;329;;;20;/catalog/korpusnaya-mebel/mebel-dlya-spalni/f/stil--sovremennyiy;arsenkin_sem+keysso
тахта диван купить;Тахты и кушетки;коммерческий;;2437;326;;388;22;/catalog/myagkaya-mebel/tahtyi;arsenkin_sem+keysso
купить мягкую мебель;Мягкая мебель общ.;коммерческий;;19715;316;;308;31;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
диван односпальный;Диваны;общий;;4876;315;;283;32;/catalog/myagkaya-mebel/divanyi/f/kolichestvo_spalnyih_mest--1_spalnoe;arsenkin_sem+keysso
диван кровать книжка;Диваны;общий;;2459;307;;269;34;/catalog/myagkaya-mebel/divanyi/f/transformation--knizhka;arsenkin_sem+keysso
мебель диваны;Диваны;общий;;129652;307;;270;27;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
диван раскладывающийся вперед;Диваны;общий;;4472;305;;242;36;/catalog/myagkaya-mebel/divanyi/f/transformation--vperjod_raskladnoj;arsenkin_sem+keysso
мебель каретниковой официальный сайт;Мебель общ.;коммерческий;;395;303;;;32;/;arsenkin_sem+keysso
диван бруклин;Диваны;общий;;2070;298;;275;26;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-bruklin-2-3m;arsenkin_sem+keysso
портомебель официальный сайт;Мебель общ.;коммерческий;;354;297;;;40;/;arsenkin_sem+keysso
комод для обуви;Комоды и тумбы;общий;;1600;291;;258;22;/catalog/korpusnaya-mebel/tumbyi/f/type--tumba-dlya-obuvi;arsenkin_sem+keysso
ваш день мебельная фабрика официальный сайт;Фабрика/производитель;коммерческий;;319;285;232;;38;/;arsenkin_sem+expand+keysso
кровать 1.5;Кровати;общий;;11067;276;;228;37;/catalog/korpusnaya-mebel/krovati/f/kolichestvo_spalnyih_mest--1_5_spalnoe;arsenkin_sem+keysso
спальня в скандинавском стиле;Спальни;общий;;1237;275;;190;20;/blog/dizayn-spalni-v-skandinavskom-stile;arsenkin_sem+keysso
кухня из массива;Кухни;общий;;8100;273;7618;254;13;/catalog/kuhni/kuhni-pod-zakaz/f/material--massiv_duba;arsenkin_sem+expand+keysso
пружинный блок;Матрасы;общий;;36877;270;;375;43;/blog/obzor-prujinnyih-blokov-dlya-matrasov;arsenkin_sem+keysso
спальня в стиле лофт;Спальни;общий;;1191;267;;;18;/blog/dizayn-spalni-v-stile-loft;arsenkin_sem+keysso
каталог мебели;Мебель общ.;коммерческий;;669140;263;;229;40;/;arsenkin_sem+keysso
мебель из дуба;Мебель из массива;общий;;3746;262;3380;222;4;/catalog/korpusnaya-mebel/f/materializgotovleniya--massivduba;arsenkin_sem+expand+keysso
три бобра мебельная фабрика официальный сайт каталог и цены;Фабрика/производитель;коммерческий;;280;262;;;35;/;arsenkin_sem+keysso
кресла мягкие для гостиной;Кресла;общий;;1755;261;;241;32;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
кресло кровать купить в москве недорого распродажа;Кресла-кровати;коммерческий;да;;257;525;;;;expand
шкаф комбинированный;Шкафы;общий;;8561;256;;289;20;/catalog/korpusnaya-mebel/shkafyi/f/type--shkaf-kombinirovannyiy;arsenkin_sem+keysso
тахта двуспальная;Тахты и кушетки;общий;;2434;255;2401;234;33;/catalog/myagkaya-mebel/tahtyi/f/kolichestvo_spalnyih_mest--2_spalnoe;arsenkin_sem+expand+keysso
дана мебельная фабрика официальный сайт;Фабрика/производитель;коммерческий;;279;255;213;;25;/;arsenkin_sem+expand+keysso
готовые кухни купить в москве;Кухни;коммерческий;да;1139;253;;;34;/catalog/kuhni;arsenkin_sem+keysso
тахта кровать двуспальная;Тахты и кушетки;общий;;1025;250;;;29;/catalog/myagkaya-mebel/tahtyi/f/kolichestvo_spalnyih_mest--2_spalnoe;arsenkin_sem+keysso
белорусская мебельная фабрика;Белорусская мебель;общий;;1186;249;1141;;3;/;arsenkin_sem+expand+keysso
стул из дерева;Столы и стулья;общий;;15563;245;;176;29;/catalog/korpusnaya-mebel/stulya;arsenkin_sem+keysso
тумбочка в прихожую;Прихожие;общий;;3185;242;;188;31;/catalog/korpusnaya-mebel/tumbyi/f/naznachenie--v_prihojuyu;arsenkin_sem+keysso
гостиная флора;Гостиные и стенки;общий;;1362;235;;232;21;/catalog/korpusnaya-mebel/mebel-dlya-gostinoy/gostinaya-flora;arsenkin_sem+keysso
массив дуба;Мебель из массива;общий;;20451;232;;245;42;/catalog/korpusnaya-mebel/f/materializgotovleniya--massivduba;arsenkin_sem+keysso
стулья для кухни из кожи натуральной;Диваны кожаные;общий;;231;231;;;23;/catalog/korpusnaya-mebel/stulya/f/obivka--naturalnaya_koja;arsenkin_sem+keysso
обеденная группа стол и стулья для кухни купить;Кухни;коммерческий;;368;228;;;41;/catalog/korpusnaya-mebel/obedennyie-gruppyi;arsenkin_sem+keysso
спадардрэва кухни сайт официальный;Кухни;общий;;229;228;;;34;/;arsenkin_sem+keysso
мебель верди;Мебель общ.;общий;;1435;223;;224;3;/catalog/mebel-pod-zakaz/kollektsiya-verdi-klassik;arsenkin_sem+keysso
купить диван раскладной двухместный;Диваны;коммерческий;;1245;218;;177;29;/catalog/myagkaya-mebel/divanyi/f/type--2-h-mestnyiy-divan/po_nalichiyu_transformatsii--raskladnoy;arsenkin_sem+keysso
витринный шкаф;Шкафы;общий;;2216;217;;174;29;/catalog/korpusnaya-mebel/shkafyi/f/type--shkaf-s-vitrinoy;arsenkin_sem+keysso
мебель для спальни купить;Спальни;коммерческий;;2091;214;;175;33;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+keysso
диван угловой мягкий;Диваны угловые;общий;;2602;214;;177;20;/catalog/myagkaya-mebel/divanyi-uglovyie;arsenkin_sem+keysso
диван в стиле прованс;Диваны;общий;;1152;213;;;12;/catalog/myagkaya-mebel/divanyi/f/stil--provans;arsenkin_sem+keysso
стол из дуба;Столы и стулья;общий;;5858;213;;328;20;/catalog/korpusnaya-mebel/stolyi/f/type--stol-obedennyiy/material--massiv_duba;arsenkin_sem+keysso
кровать из массива дуба;Кровати;общий;;1328;212;1187;207;24;/catalog/korpusnaya-mebel/krovati/f/massiv--dub;arsenkin_sem+expand+keysso
угловой диван трансформер;Диваны угловые;общий;;1154;211;1659;172;31;/catalog/myagkaya-mebel/divanyi-uglovyie/f/transformation--transformer;arsenkin_sem+expand+keysso
кресло клик кляк;Кресла;общий;;802;211;;;21;/catalog/myagkaya-mebel/kresla/f/transformation--klik_kljak;arsenkin_sem+keysso
мебель белорусская пятигорск;Белорусская мебель;общий;;492;210;;;16;/catalog/korpusnaya-mebel/mebel-dlya-gostinoy;arsenkin_sem+keysso
подставка под цветы напольная из дерева;Мебель из массива;общий;;434;210;;;24;/catalog/korpusnaya-mebel/dekorativnyie-elementyi/f/type--podstavka-dekorativnaya;arsenkin_sem+keysso
дольче мебель;Мебель общ.;общий;;1516;209;;195;10;/catalog/korpusnaya-mebel/mebel-dlya-spalni/spalnya-dolche--1;arsenkin_sem+keysso
угловой диван с оттоманкой;Диваны угловые;общий;;2043;206;2701;272;10;/catalog/myagkaya-mebel/divanyi-uglovyie/f/nalichie_ottomanki--est;arsenkin_sem+expand+keysso
спальня светлая;Спальни;общий;;12807;206;;46;37;/blog/dizayn-spalni-v-svetlyih-tonah;arsenkin_sem+keysso
диван рогожка;Диваны;общий;;10612;201;;205;35;/catalog/myagkaya-mebel/divanyi/f/obivka--rogojka;arsenkin_sem+keysso
диван из натуральной кожи;Диваны кожаные;общий;;1460;199;;181;4;/catalog/myagkaya-mebel/divanyi/f/material--naturalnaya_kozha;arsenkin_sem+keysso
шкаф для посуды на кухню;Кухни;общий;;2471;196;;271;28;/catalog/korpusnaya-mebel/shkafyi/f/naznachenie--dlya_posudyi;arsenkin_sem+keysso
купить кожаный диван в москве;Диваны кожаные;коммерческий;да;672;196;;;11;/catalog/myagkaya-mebel/divanyi/f/material--naturalnaya_kozha;arsenkin_sem+keysso
тахта кровать с ящиком для белья;Тахты и кушетки;общий;;453;192;566;;24;/catalog/myagkaya-mebel/tahtyi/f/s_yashhikom--est;arsenkin_sem+expand+keysso
кресло оскар;Кресла;общий;;1255;190;;158;12;/catalog/myagkaya-mebel/kresla/kreslo-oskar-12---spetspredlojenie;arsenkin_sem+keysso
диван лорд;Диваны;общий;;1382;188;;158;22;/catalog/myagkaya-mebel/divanyi/divan-lord-32;arsenkin_sem+keysso
белорусская мягкая мебель;Белорусская мебель;общий;;886;187;822;;1;/;arsenkin_sem+expand+keysso
бельевой шкаф;Шкафы;общий;;4178;187;;171;12;/catalog/korpusnaya-mebel/shkafyi/f/naznachenie--dlya_belya;arsenkin_sem+keysso
кухня в стиле неоклассика;Кухни;общий;;916;186;;;17;/catalog/kuhni/kuhni-pod-zakaz/f/stil--neoklassika;arsenkin_sem+keysso
кресло кровать купить с доставкой в москве;Кресла-кровати;коммерческий;да;;184;1202;;;;expand
кровать монако;Кровати;общий;;2876;184;;122;26;/catalog/korpusnaya-mebel/krovati/krovat-odinarnaya-monako-p528-11;arsenkin_sem+keysso
мебель из массива дерева от производителя;Мебель из массива;коммерческий;;369;183;364;;23;/catalog;arsenkin_sem+expand+keysso
диван мягкий купить;Диваны;коммерческий;;5218;183;;172;36;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
диван пума;Диваны;общий;;2501;182;;173;21;/catalog/myagkaya-mebel/divanyi/f/transformation--puma;arsenkin_sem+keysso
механизм еврокнижка для дивана;Диваны;общий;;1262;182;;178;17;/blog/divan-evroknijka--plyusyi-i-minusyi;arsenkin_sem+keysso
кухни беларуси;Кухни;общий;;6135;180;;147;3;/catalog/kuhni/kuhni-pod-zakaz;arsenkin_sem+keysso
диван с оттоманкой купить;Диваны;коммерческий;;2020;180;;179;14;/catalog/myagkaya-mebel/divanyi/f/nalichie_ottomanki--est;arsenkin_sem+keysso
диван нераскладной;Диваны;общий;;3823;179;;189;27;/catalog/myagkaya-mebel/divanyi/f/po_nalichiyu_transformatsii--ne_raskladnoy;arsenkin_sem+keysso
кухня сканди;Кухни;общий;;1928;178;;173;13;/catalog/kuhni/kuhni-pod-zakaz/kuhni-skandi;arsenkin_sem+keysso
качественная мебель;Мебель общ.;общий;;5607;178;;205;18;/;arsenkin_sem+keysso
шкаф монако;Шкафы;общий;;2005;178;;142;21;/catalog/korpusnaya-mebel/shkafyi/shkaf-monako-p6-528-0-01-01;arsenkin_sem+keysso
диван мягкий раскладной;Диваны;общий;;1367;177;;139;28;/catalog/myagkaya-mebel/divanyi/f/po_nalichiyu_transformatsii--raskladnoy;arsenkin_sem+keysso
кухни милана;Кухни;общий;;1972;176;;169;9;/catalog/kuhni/kuhni-pod-zakaz/kuhni-milana;arsenkin_sem+keysso
стулья деревянные от производителя купить;Столы и стулья;коммерческий;;316;176;;;4;/catalog/korpusnaya-mebel/stulya;arsenkin_sem+keysso
диван прованс;Диваны;общий;;2050;175;;176;17;/catalog/myagkaya-mebel/divanyi/f/stil--provans;arsenkin_sem+keysso
мебель классика;Мебель общ.;общий;;5518;173;;164;25;/catalog/myagkaya-mebel/divanyi/f/stil--klassika;arsenkin_sem+keysso
мебель из белоруссии официальный сайт каталог цены;Белорусская мебель;коммерческий;;252;172;310;;1;/catalog;arsenkin_sem+expand+keysso
мебель купить онлайн;Мебель общ.;коммерческий;;625;172;;;30;/;arsenkin_sem+keysso
диван ричмонд;Диваны;общий;;1165;172;;;18;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-richmond-3m;arsenkin_sem+keysso
диван кровать раскладной вперед;Диваны;общий;;474;172;;;19;/catalog/myagkaya-mebel/divanyi-pryamyie/f/transformation--vperjod_raskladnoj;arsenkin_sem+keysso
купить мебель для кухни;Кухни;коммерческий;;4132;171;;143;19;/catalog/kuhni;arsenkin_sem+keysso
мебельная фабрика три бобра;Фабрика/производитель;общий;;;170;985;;;;expand
магазин мягкой мебели;Мягкая мебель общ.;коммерческий;;9730;170;;155;20;/catalog/myagkaya-mebel;arsenkin_sem+keysso
стулья из массива;Столы и стулья;общий;;5436;169;;158;17;/catalog/korpusnaya-mebel/stulya;arsenkin_sem+keysso
срп мебель официальный сайт;Мебель общ.;коммерческий;;259;168;;;34;/;arsenkin_sem+keysso
купить диван в москве от производителя;Диваны;коммерческий;да;5941;165;5459;152;36;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+expand+keysso
диван пружинный;Диваны;общий;;32621;165;;158;15;/catalog/myagkaya-mebel/divanyi/f/napolnenie--nezavisimyi_prujinnyi_blok;arsenkin_sem+keysso
мебель дмитров;Мебель общ.;общий;;2908;164;;153;35;/;arsenkin_sem+keysso
кресло реклайнер купить в москве;Кресла реклайнеры;коммерческий;да;295;163;248;;26;/catalog/myagkaya-mebel/kresla/f/type--kreslo-reklayner;arsenkin_sem+expand+keysso
диван угловой левый угол;Диваны угловые;общий;;2175;163;;159;28;/catalog/myagkaya-mebel/divanyi-uglovyie/f/razmeschenie_ugla--levoe;arsenkin_sem+keysso
кухонный гарнитур чебоксары;Кухни;общий;да;1296;161;;162;32;/catalog/kuhni;arsenkin_sem+keysso
диван уголок;Диваны;общий;;5291;160;;113;26;/catalog/myagkaya-mebel/divanyi-uglovyie;arsenkin_sem+keysso
короче мебель;Мебель общ.;общий;;1357;159;;161;20;/;arsenkin_sem+keysso
комод обувница в прихожую;Прихожие;общий;;505;159;;;23;/catalog/korpusnaya-mebel/tumbyi/f/type--tumba-dlya-obuvi;arsenkin_sem+keysso
диван в спальню;Диваны;общий;;4407;158;;145;25;/catalog/myagkaya-mebel/divanyi/f/naznachenie--v_spalnyu;arsenkin_sem+keysso
шкаф тиффани;Шкафы;общий;;1763;158;;190;34;/catalog/korpusnaya-mebel/shkafyi/shkaf-dlya-odejdyi-4d-tiffani-2554-01-bm681;arsenkin_sem+keysso
диван раздвижной вперед;Диваны;общий;;563;156;;;22;/catalog/myagkaya-mebel/divanyi-pryamyie/f/transformation--vperjod_raskladnoj;arsenkin_sem+keysso
магазин белорусских товаров;Белорусская мебель;коммерческий;;4502;155;;131;41;/;arsenkin_sem+keysso
белмебель;Мебель общ.;общий;;1140;154;;;19;/catalog;arsenkin_sem+keysso
письменный стол из массива дерева купить;Столы и стулья;коммерческий;;351;154;;;43;/catalog/korpusnaya-mebel/stolyi/f/type--stol-pismennyiy;arsenkin_sem+keysso
диванчик в прихожую;Диваны;общий;;945;153;;;30;/catalog/myagkaya-mebel/divanyi/f/naznachenie--v_prihojuyu;arsenkin_sem+keysso
стулья из массива дерева;Столы и стулья;общий;;1777;153;;190;20;/catalog/korpusnaya-mebel/stulya;arsenkin_sem+keysso
спальня светлые тона;Спальни;общий;;5595;153;;3;21;/blog/dizayn-spalni-v-svetlyih-tonah;arsenkin_sem+keysso
мебель стол;Столы и стулья;общий;;77165;152;;149;18;/catalog/korpusnaya-mebel/stolyi;arsenkin_sem+keysso
мягкая мебель купить в москве;Мягкая мебель общ.;коммерческий;да;776;151;;;29;/catalog/myagkaya-mebel;arsenkin_sem+keysso
диван с выдвижной оттоманкой;Диваны;общий;;555;149;;;18;/catalog/myagkaya-mebel/divanyi/f/nalichie_ottomanki--est;arsenkin_sem+keysso
диван софт;Диваны;общий;;2337;147;;167;8;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-soft-3m;arsenkin_sem+keysso
белорусская мебель мягкая мебель;Белорусская мебель;общий;;886;147;;;12;/catalog;arsenkin_sem+keysso
раскладной механизм для дивана;Диваны;общий;;1373;147;;148;26;/mehanizmyi-transformatsii;arsenkin_sem+keysso
омега мебель;Мебель общ.;общий;;1578;146;;136;12;/catalog/myagkaya-mebel/naboryi-myagkoy-mebeli/nabor-mebeli-omega;arsenkin_sem+keysso
кресло в зал;Кресла;общий;;5191;146;;119;21;/catalog/myagkaya-mebel/kresla/f/naznachenie--v_gostinuyu;arsenkin_sem+keysso
кресло мягкое для дома с мягкими подлокотниками;Кресла;общий;;546;145;;;14;/catalog/myagkaya-mebel/kresla/f/podlokotniki--myagkie;arsenkin_sem+keysso
купить малогабаритный диван;Диваны;коммерческий;;2189;145;;111;40;/catalog/myagkaya-mebel/divanyi/f/po_gabaritam--malogabaritnyie;arsenkin_sem+keysso
диван без подушек;Диваны;общий;;2873;144;;122;28;/catalog/myagkaya-mebel/divanyi/f/podushki_v_komplekte--net;arsenkin_sem+keysso
диван угловой модульный раскладной;Диваны угловые;общий;;750;144;;;29;/catalog/myagkaya-mebel/divanyi-uglovyie/f/sistema_komplektatsii--modulnaya;arsenkin_sem+keysso
белорусская мебель belvedere;Белорусская мебель;общий;;306;143;226;;18;/;arsenkin_sem+expand+keysso
стол в кабинет;Столы и стулья;общий;;13067;143;;163;28;/catalog/korpusnaya-mebel/stolyi/f/naznachenie--v_kabinet;arsenkin_sem+keysso
мягкий уголок в гостиную;Гостиные и стенки;общий;;689;142;;;17;/catalog/myagkaya-mebel/divanyi-uglovyie/f/naznachenie--v_gostinuyu;arsenkin_sem+keysso
диван двухместный купить;Диваны;коммерческий;;2792;142;;104;26;/catalog/myagkaya-mebel/divanyi/f/type--2-h-mestnyiy-divan;arsenkin_sem+keysso
кресло кровать аккордеон купить;Кресла-кровати;коммерческий;;525;142;;;40;/catalog/myagkaya-mebel/kresla/f/transformation--akkordeon;arsenkin_sem+keysso
купить диван в обнинске;Диваны;коммерческий;;523;141;;;26;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
кровать из дуба;Кровати;общий;;2706;141;;140;30;/catalog/korpusnaya-mebel/krovati/f/massiv--dub;arsenkin_sem+keysso
сивер мебель официальный сайт;Мебель общ.;коммерческий;;158;141;;;35;/catalog/korpusnaya-mebel/shkafyi/f/stil--modern;arsenkin_sem+keysso
мебель кантри;Мебель общ.;общий;;1557;140;;114;33;/catalog/korpusnaya-mebel/f/stil--kantri;arsenkin_sem+keysso
белорусская мебель официальный сайт каталог цены;Белорусская мебель;коммерческий;;;139;968;;;;expand
купить диван в старом осколе;Диваны;коммерческий;;652;139;;;39;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
диван лотос;Диваны;общий;;1391;138;;122;16;/catalog/korpusnaya-mebel/krovati/krovat-divan-lotos-bm-2186;arsenkin_sem+keysso
белорусские кухни в москве официальный сайт;Кухни;коммерческий;да;214;137;;;3;/catalog/kuhni;arsenkin_sem+keysso
диван бруклин угловой;Диваны угловые;общий;;391;136;468;;19;/catalog/myagkaya-mebel/divanyi/uglovoy-divan-bruklin-2-2ml-r-8mr-l;arsenkin_sem+expand+keysso
мебель для гостиной классика;Гостиные и стенки;общий;;592;136;;;23;/catalog/korpusnaya-mebel/mebel-dlya-gostinoy/f/stil--klassika;arsenkin_sem+keysso
диван на дачу;Диваны;общий;;3661;135;;126;33;/catalog/myagkaya-mebel/divanyi/f/naznachenie--na_dachu;arsenkin_sem+keysso
диван премиум;Диваны;общий;;4284;133;;180;11;/catalog/myagkaya-mebel/divanyi-premium;arsenkin_sem+keysso
диван уно;Диваны;общий;;931;131;;;12;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-uno-3-3m;arsenkin_sem+keysso
